TagID,EnergyArt,Brand_Type,Date,Time,TotalVolumeHLT,EnergyUsedAdjusted
782,CO2,Læsk,2019-05-05 00:00:00,4,227.38320000000002,406.00
782,CO2,Cider,2019-05-07 00:00:00,6,328.32000000000005,406.00
782,CO2,Læsk,2019-05-27 00:00:00,7,243.06480000000002,406.00
782,CO2,Læsk,2019-05-28 00:00:00,23,1121.6700000000005,406.00
782,CO2,Læsk,2019-05-01 00:00:00,0,387.3864,405.00
782,CO2,Cider,2019-05-08 00:00:00,22,259.20000000000005,403.00
782,CO2,,2019-05-01 00:00:00,21,,402.00
782,CO2,Læsk,2019-05-11 00:00:00,19,203.8608,402.00
782,CO2,Læsk,2019-05-02 00:00:00,8,915.1583999999999,398.00
782,CO2,Læsk,2019-05-19 00:00:00,23,196.02,398.00
782,CO2,Læsk,2019-05-26 00:00:00,16,23.5224,396.00
782,CO2,Cider,2019-05-08 00:00:00,15,285.12,395.00
782,CO2,Cider,2019-05-09 00:00:00,0,293.76,395.00
782,CO2,Læsk,2019-05-28 00:00:00,21,751.9428,394.00
782,CO2,,2019-05-09 00:00:00,20,,393.00
782,CO2,Læsk,2019-05-06 00:00:00,9,260.568,390.00
782,CO2,Læsk,2019-05-09 00:00:00,21,767.3136,390.00
782,CO2,Læsk,2019-05-11 00:00:00,20,115.1568,390.00
782,CO2,Læsk,2019-05-11 00:00:00,22,163.94400000000002,387.00
782,CO2,Cider,2019-05-09 00:00:00,3,259.20000000000005,384.00
782,CO2,Øl,2019-05-25 00:00:00,8,320.272,384.00
782,CO2,Læsk,2019-05-02 00:00:00,20,393.0648,383.00
782,CO2,Cider,2019-05-08 00:00:00,18,259.2,383.00
782,CO2,Læsk,2019-05-03 00:00:00,4,331.56000000000006,382.00
782,CO2,Læsk,2019-05-05 00:00:00,19,274.428,382.00
782,CO2,Cider,2019-05-08 00:00:00,23,285.12,380.00
782,CO2,Læsk,2019-05-11 00:00:00,5,541.0152,380.00
782,CO2,Læsk,2019-05-27 00:00:00,14,1043.3327999999997,379.00
782,CO2,Læsk,2019-05-03 00:00:00,15,192.45600000000002,378.00
782,CO2,Læsk,2019-05-17 00:00:00,18,517.4928,378.00
782,CO2,Læsk,2019-05-28 00:00:00,22,962.2876000000003,378.00
782,CO2,Læsk,2019-05-05 00:00:00,8,282.2688,377.00
782,CO2,Øl,2019-05-25 00:00:00,0,285.92,376.00
782,CO2,Læsk,2019-05-04 00:00:00,17,47.0448,374.00
782,CO2,,2019-05-22 00:00:00,8,,374.00
782,CO2,Cider,2019-05-30 00:00:00,1,190.08,374.00
782,CO2,,2019-05-01 00:00:00,10,,373.00
782,CO2,Læsk,2019-05-02 00:00:00,4,1217.3232,372.00
782,CO2,Cider,2019-05-07 00:00:00,13,319.68,371.00
782,CO2,Læsk,2019-05-21 00:00:00,6,597.9456,369.00
782,CO2,Cider,2019-05-09 00:00:00,6,285.12,368.00
782,CO2,Læsk,2019-05-04 00:00:00,7,202.752,367.00
782,CO2,,2019-05-08 00:00:00,11,,367.00
782,CO2,Læsk,2019-05-14 00:00:00,14,971.7417,367.00
782,CO2,Læsk,2019-05-01 00:00:00,14,1337.6424,366.00
